house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale,energy_certificate
10,3.0,HOUSE,TOWN_HOUSE,LIER,2500,Pannenhuisstraat,305,,1.0,2.0,365000.0,0.0,1.0,10.0,0.0,0.0,GOOD,1.0,278.0,0.0,370.0,183.0,370.0,,D
11,3.0,HOUSE,HOUSE,PUURS,2870,Palingstraat,91,,1.0,2.0,369000.0,0.0,1.0,18.0,0.0,0.0,GOOD,1.0,21.0,0.0,120.0,202.0,120.0,,C
12,2.0,APARTMENT,APARTMENT,BERCHEM,2600,Elisabethlaan,180,3,1.0,,289000.0,0.0,1.0,7.0,0.0,0.0,GOOD,0.0,0.0,0.0,,100.0,,,B
13,3.0,APARTMENT,APARTMENT,Antwerpen,2020,Jan Van Rijswijcklaan,279,14,1.0,2.0,320000.0,0.0,1.0,1.0,0.0,0.0,GOOD,0.0,0.0,0.0,,125.0,,,B
14,3.0,HOUSE,HOUSE,Ans,4430,Rue de la Tonne,64,,1.0,2.0,344000.0,0.0,1.0,112.0,0.0,0.0,AS_NEW,1.0,300.0,1.0,540.0,133.0,540.0,,C
15,4.0,HOUSE,HOUSE,MEERDONK,9170,Polderstraat,28,,1.0,3.0,399000.0,0.0,1.0,12.0,0.0,0.0,GOOD,1.0,110.0,0.0,336.0,232.0,336.0,,D
16,4.0,HOUSE,HOUSE,Gent Mariakerke,9030,Brugsevaart,62,,1.0,3.0,620000.0,0.0,1.0,30.0,0.0,0.0,GOOD,1.0,478.0,0.0,629.0,265.0,629.0,,B
17,4.0,HOUSE,MANSION,Wortegem-Petegem,9790,Kortrijkstraat,84,,0.0,4.0,699000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,971.0,285.0,971.0,,C
18,4.0,APARTMENT,APARTMENT,TURNHOUT,2300,Kempenlaan,23,7,1.0,3.0,235000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,,147.0,,,C
19,1.0,APARTMENT,APARTMENT,Saint-Josse-ten-Noode,1210,Rue saint-alphonse,9,,1.0,2.0,165000.0,0.0,0.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,0.0,,62.0,,,E
20,6.0,APARTMENT,APARTMENT,Bruxelles,1000,Rue de la Loi,235,,1.0,,1150000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,,300.0,,,D
21,5.0,HOUSE,APARTMENT_BLOCK,MORTSEL,2640,Vijf-aprilwarande,87,,0.0,2.0,650000.0,0.0,1.0,30.0,0.0,0.0,GOOD,1.0,60.0,0.0,167.0,232.0,167.0,,C
22,1.0,APARTMENT,GROUND_FLOOR,WILRIJK,2610,Michel Willemsplein,10,,1.0,2.0,189000.0,0.0,1.0,11.0,0.0,0.0,GOOD,0.0,0.0,0.0,,50.0,,,B
23,2.0,APARTMENT,APARTMENT,Borgerhout,2140,Luitenant Lippenslaan,51,B7,0.0,3.0,219000.0,0.0,1.0,6.0,0.0,0.0,GOOD,0.0,0.0,0.0,,92.0,,,C
24,3.0,HOUSE,HOUSE,HERENT,3020,Keizersstraat,1,,1.0,4.0,389000.0,0.0,1.0,20.0,0.0,0.0,TO_RENOVATE,1.0,1188.0,0.0,1348.0,169.0,1348.0,,F
25,3.0,HOUSE,HOUSE,SINT-NIKLAAS,9100,Breedstraat,79,,1.0,2.0,289000.0,0.0,1.0,12.0,1.0,1.0,GOOD,1.0,127.0,0.0,269.0,140.0,269.0,,E
26,3.0,APARTMENT,APARTMENT,Uccle,1180,Avenue Coghen,0,0,1.0,2.0,400000.0,0.0,1.0,3.0,0.0,0.0,GOOD,1.0,300.0,0.0,,88.0,,,D
